2024-03-19 23:40:48 - 200 - {'Content-Type': 'image/jpeg', 'Content-Length': 90623, 'X-Content-Type-Options': 'nosniff'} /img/anderson.jpg
2024-03-19 23:40:48 - 200 - {'Content-Type': 'text/javascript', 'Content-Length': 1549, 'X-Content-Type-Options': 'nosniff'} /js/thumbnail.js
2024-03-19 23:40:48 - 200 - {'Content-Type': 'image/jpeg', 'Content-Length': 245213, 'X-Content-Type-Options': 'nosniff'} /img/folwel.jpg
2024-03-19 23:40:48 - 200 - {'Content-Type': 'image/jpeg', 'Content-Length': 37561, 'X-Content-Type-Options': 'nosniff'} /img/zoom.jpg
2024-03-19 23:40:48 - 200 - {'Content-Type': 'image/png', 'Content-Length': 82836, 'X-Content-Type-Options': 'nosniff'} /img/gophers-mascot.png
2024-03-19 23:40:48 - 200 - {'Content-Type': 'image/png', 'Content-Length': 10892, 'X-Content-Type-Options': 'nosniff'} /img/search.png
2024-03-19 23:40:48 - 200 - {'Content-Type': 'image/png', 'Content-Length': 25240, 'X-Content-Type-Options': 'nosniff'} /img/direction.png
2024-03-19 23:40:49 - 200 - {'Content-Type': 'text/javascript', 'Content-Length': 7351, 'X-Content-Type-Options': 'nosniff'} /js/map.js
2024-03-19 23:40:51 - 200 - {'Content-Type': 'image/png', 'Content-Length': 110981, 'X-Content-Type-Options': 'nosniff'} /img/Goldy.png
2024-03-19 23:40:56 - 200 - {'Content-Type': 'image/png', 'Content-Length': 82836, 'X-Content-Type-Options': 'nosniff'} /img/gophers-mascot.png
2024-03-19 23:41:03 - 200 - {'Content-Type': 'text/html', 'Content-Length': 2675, 'X-Content-Type-Options': 'nosniff'} /MyForm.html
2024-03-19 23:41:03 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5364, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 23:41:03 - 200 - {'Content-Type': 'text/javascript', 'Content-Length': 2341, 'X-Content-Type-Options': 'nosniff'} /js/formMap.js
2024-03-19 23:41:04 - 200 - {'Content-Type': 'text/html', 'Content-Length': 13769, 'X-Content-Type-Options': 'nosniff'} /AboutMe.html
2024-03-19 23:41:05 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5364, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 23:41:05 - 200 - {'Content-Type': 'image/jpeg', 'Content-Length': 113704, 'X-Content-Type-Options': 'nosniff'} /img/IMG_6917.jpg
2024-03-19 23:41:05 - 200 - {'Content-Type': 'text/javascript', 'Content-Length': 911, 'X-Content-Type-Options': 'nosniff'} /js/clock.js
